"id","mszoning","lotfrontage","lotarea","lotshape","landcontour","lotconfig","landslope","neighborhood","condition1","bldgtype","housestyle","overallqual","overallcond","yearbuilt","yearremodadd","roofstyle","exterior1st","exterior2nd","masvnrtype","masvnrarea","exterqual","extercond","foundation","bsmtqual","bsmtcond","bsmtexposure","bsmtfintype1","bsmtfinsf1","bsmtfintype2","bsmtunfsf","totalbsmtsf","heating","heatingqc","electrical","x1stflrsf","x2ndflrsf","grlivarea","bsmtfullbath","fullbath","halfbath","bedroomabvgr","kitchenqual","totrmsabvgrd","functional","fireplaces","fireplacequ","garagetype","garageyrblt","garagefinish","garagecars","garagearea","wooddecksf","openporchsf","enclosedporch","fence","miscfeature","saletype","salecondition","saleprice","sale_date","total_baths"
299,"RL",90,11700,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","2Story",6,6,1968,1968,"Mansard","HdBoard","AsphShn","BrkFace",365,"Gd","TA","CBlock","TA","TA","No","ALQ",384,"Rec",143,702,"GasA","Gd","SBrkr",1041,702,1743,0,1,2,3,"TA",7,"Typ",1,"Gd","Attchd",1968,"Unf",2,539,224,0,0,NA,NA,"WD","Normal",175000,2007-06-01,2
300,"RL",80,14000,"Reg","Lvl","Inside","Gtl","Crawfor","Norm","1Fam","1Story",6,8,1950,2004,"Gable","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",0,"Unf",1092,1092,"GasA","Ex","SBrkr",1152,0,1152,0,1,0,3,"Gd",6,"Typ",1,"Gd","Attchd",1950,"Unf",1,300,0,36,0,"GdPrv",NA,"WD","Family",158500,2009-08-01,1
301,"RL",90,15750,"Reg","Lvl","Corner","Gtl","Crawfor","Norm","2fmCon","1Story",5,5,1953,1953,"Hip","MetalSd","MetalSd","BrkFace",56,"TA","TA","CBlock","TA","TA","Mn","BLQ",841,"Unf",324,1165,"GasA","TA","SBrkr",1336,0,1336,1,1,0,2,"TA",5,"Typ",2,"Gd","Attchd",1953,"Unf",1,375,0,0,0,NA,NA,"WD","Normal",157000,2006-06-01,1
302,"RL",66,16226,"IR3","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",8,5,1998,1999,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",281,"Unf",747,1028,"GasA","Ex","SBrkr",1210,1242,2452,0,2,1,4,"Gd",9,"Typ",1,"TA","BuiltIn",1998,"Fin",2,683,208,50,0,NA,NA,"WD","Normal",267000,2007-05-01,2.5
303,"RL",118,13704,"IR1","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",150,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",1541,1541,"GasA","Ex","SBrkr",1541,0,1541,0,2,0,3,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",3,843,468,81,0,NA,NA,"WD","Normal",205000,2006-01-01,2
304,"RL",70,9800,"Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story",5,7,1972,1972,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","ALQ",894,"Unf",0,894,"GasA","TA","SBrkr",894,0,894,1,1,0,3,"TA",5,"Typ",0,NA,"Attchd",1975,"Unf",2,552,256,0,0,"GdWo",NA,"WD","Abnorml",149900,2006-07-01,1
305,"RM",87,18386,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2.5Fin",7,9,1880,2002,"Gable","CemntBd","CmentBd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",1470,1470,"GasA","Ex","SBrkr",1675,1818,3493,0,3,0,3,"Gd",10,"Typ",1,"Ex","Attchd",2003,"Unf",3,870,302,0,0,NA,NA,"WD","Normal",295000,2008-05-01,3
306,"RL",80,10386,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CemntBd","CmentBd","Stone",246,"Gd","TA","PConc","Gd","TA","No","GLQ",1464,"Unf",536,2000,"GasA","Ex","SBrkr",2000,0,2000,1,2,0,3,"Gd",8,"Typ",0,NA,"Attchd",2004,"Fin",3,888,168,0,0,NA,NA,"WD","Normal",305900,2007-07-01,2
307,"RL",116,13474,"Reg","Lvl","Inside","Gtl","SawyerW","Feedr","1Fam","2Story",7,5,1990,1991,"Gable","HdBoard","Plywood","BrkFace",246,"Gd","TA","CBlock","Gd","TA","No","ALQ",700,"Unf",0,700,"GasA","Gd","SBrkr",1122,1121,2243,1,2,1,4,"Gd",8,"Typ",1,"TA","Attchd",1990,"RFn",3,746,127,44,224,NA,NA,"WD","Normal",225000,2007-06-01,2.5
308,"RM",21,7920,"IR1","Lvl","Inside","Gtl","IDOTRR","Artery","1Fam","1.5Fin",6,7,1920,1950,"Gable","MetalSd","MetalSd","None",0,"TA","Fa","CBlock","TA","TA","No","Unf",0,"Unf",319,319,"GasA","TA","FuseA",1035,371,1406,0,1,0,3,"Fa",6,"Typ",0,NA,NA,1900,NA,0,0,0,144,0,"MnPrv",NA,"WD","Normal",89500,2008-03-01,1
309,"RL",21,12342,"IR1","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",4,5,1940,1950,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",262,"Unf",599,861,"GasA","Ex","SBrkr",861,0,861,0,1,0,1,"TA",4,"Typ",0,NA,"Detchd",1961,"Unf",2,539,158,0,0,NA,NA,"WD","Normal",82500,2009-03-01,1
310,"RL",90,12378,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",9,5,2003,2004,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1274,"Unf",622,1896,"GasA","Ex","SBrkr",1944,0,1944,1,2,0,3,"Ex",8,"Typ",3,"Ex","Attchd",2003,"Fin",3,708,208,175,0,NA,NA,"WD","Normal",360000,2006-11-01,2
311,"RL",21,7685,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,1993,1994,"Gable","HdBoard","HdBoard","BrkFace",112,"TA","TA","PConc","Gd","TA","No","ALQ",518,"Unf",179,697,"GasA","Gd","SBrkr",697,804,1501,0,2,1,3,"Gd",6,"Typ",1,"TA","Attchd",1993,"Fin",2,420,190,63,0,NA,NA,"WD","Normal",165600,2006-05-01,2.5
312,"RL",50,8000,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,6,1948,2002,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",680,"Unf",292,972,"GasA","Ex","SBrkr",972,0,972,1,1,0,2,"TA",5,"Typ",1,"Gd","Detchd",1948,"Unf",1,240,0,0,0,NA,NA,"WD","Normal",132000,2009-05-01,1
313,"RM",65,7800,"Reg","Lvl","Inside","Gtl","OldTown","Artery","2fmCon","1.5Fin",5,7,1939,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Mn","Rec",507,"Unf",286,793,"GasA","TA","SBrkr",793,325,1118,1,1,0,3,"TA",5,"Typ",1,"Gd","Detchd",1939,"Unf",2,410,0,0,0,"MnPrv",NA,"WD","Normal",119900,2006-05-01,1
314,"RL",150,1300,"IR3","Low","Inside","Sev","Timber","Norm","1Fam","1Story",7,5,1965,1965,"Hip","BrkFace","BrkFace","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",1236,"Rec",80,2136,"GasW","TA","SBrkr",2036,0,2036,2,2,0,3,"TA",8,"Typ",2,"Gd","Attchd",1965,"RFn",2,513,0,0,0,NA,NA,"WD","Normal",375000,2009-06-01,2
315,"RM",60,9600,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2Story",7,7,1925,1990,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","Gd","No","LwQ",16,"Unf",712,728,"GasA","Ex","SBrkr",832,809,1641,0,1,1,3,"Ex",6,"Typ",1,"Gd","Detchd",1925,"Unf",2,546,0,0,234,NA,NA,"WD","Normal",178000,2006-08-01,1.5
316,"RL",71,7795,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",7,5,2004,2005,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",425,"Unf",291,716,"GasA","Ex","SBrkr",716,716,1432,1,2,1,3,"Gd",6,"Typ",1,"Gd","Attchd",2004,"Fin",2,432,100,51,0,NA,NA,"WD","Normal",188500,2009-07-01,2.5
317,"RL",94,13005,"IR1","Lvl","Corner","Gtl","NWAmes","Norm","1Fam","2Story",7,7,1980,1980,"Gable","CemntBd","CmentBd","BrkFace",278,"Gd","TA","CBlock","Gd","TA","No","GLQ",692,"Unf",153,845,"GasA","TA","SBrkr",1153,1200,2353,1,2,1,4,"Ex",10,"Typ",1,"TA","Attchd",1983,"RFn",2,484,288,195,0,"GdPrv",NA,"WD","Normal",260000,2009-08-01,2.5
318,"FV",75,9000,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","2Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",1088,1088,"GasA","Ex","SBrkr",1088,871,1959,0,2,1,3,"Gd",8,"Typ",1,"Gd","Attchd",2006,"RFn",3,1025,208,46,0,NA,NA,"WD","Normal",270000,2007-12-01,2.5
319,"RL",90,9900,"Reg","Low","Inside","Mod","NoRidge","Norm","1Fam","2Story",7,5,1993,1993,"Gable","HdBoard","HdBoard","BrkFace",256,"Gd","TA","PConc","Gd","TA","Gd","GLQ",987,"Unf",360,1347,"GasA","Ex","SBrkr",1372,1274,2646,1,2,1,4,"Gd",9,"Typ",1,"TA","Attchd",1993,"RFn",3,656,340,60,144,NA,NA,"WD","Normal",260000,2009-04-01,2.5
320,"RL",21,14115,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","SLvl",7,5,1980,1980,"Gable","Plywood","Plywood","BrkFace",225,"TA","TA","CBlock","Gd","TA","Av","GLQ",1036,"Unf",336,1372,"GasA","TA","SBrkr",1472,0,1472,1,2,0,3,"TA",6,"Typ",2,"TA","Attchd",1980,"Unf",2,588,233,48,0,NA,NA,"WD","Normal",187500,2009-06-01,2
321,"RL",111,16259,"Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","2Story",9,5,2006,2006,"Gable","VinylSd","VinylSd","Stone",370,"TA","TA","PConc","Ex","Gd","Av","Unf",0,"Unf",1249,1249,"GasA","Ex","SBrkr",1249,1347,2596,0,3,1,4,"Gd",9,"Typ",0,NA,"Attchd",2006,"RFn",3,840,240,154,0,NA,NA,"New","Partial",342643,2006-09-01,3.5
322,"RL",99,12099,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",8,5,2004,2004,"Gable","VinylSd","VinylSd","BrkFace",388,"Gd","TA","PConc","Ex","TA","Av","GLQ",970,"Unf",166,1136,"GasA","Ex","SBrkr",1136,1332,2468,1,2,1,4,"Gd",10,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,872,184,154,0,NA,NA,"WD","Normal",354000,2007-06-01,2.5
323,"RL",86,10380,"IR1","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","2Story",7,5,1986,1987,"Gable","Plywood","Plywood","BrkFace",172,"Gd","TA","CBlock","TA","TA","Gd","LwQ",28,"ALQ",0,1502,"GasA","Ex","SBrkr",1553,1177,2730,1,2,1,4,"Gd",8,"Typ",1,"TA","Attchd",1987,"Fin",2,576,201,96,0,"MnPrv",NA,"WD","Normal",301000,2007-08-01,2.5
324,"RM",49,5820,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","1Story",3,8,1955,2005,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",256,"Unf",906,1162,"GasA","Ex","SBrkr",1163,0,1163,1,1,0,3,"TA",6,"Typ",0,NA,"Attchd",1955,"Unf",1,220,142,98,0,NA,NA,"WD","Normal",126175,2006-07-01,1
325,"RL",96,11275,"Reg","Lvl","Corner","Gtl","NAmes","PosN","1Fam","SLvl",7,7,1967,2007,"Mansard","Wd Sdng","Wd Sdng","BrkFace",300,"Gd","Gd","CBlock","Gd","TA","No","Unf",0,"Unf",710,710,"GasA","Ex","SBrkr",1898,1080,2978,0,2,1,5,"Gd",11,"Typ",1,"Gd","BuiltIn",1961,"Fin",2,564,240,0,0,NA,NA,"WD","Normal",242000,2010-06-01,2.5
326,"RM",50,5000,"Reg","Lvl","Inside","Gtl","IDOTRR","RRAe","1Fam","1.5Unf",5,6,1941,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Av","BLQ",116,"Unf",604,720,"GasA","Po","FuseF",803,0,803,0,1,0,2,"TA",5,"Typ",0,NA,"Detchd",1941,"Unf",2,360,0,0,244,NA,NA,"WD","Normal",87000,2007-12-01,1
327,"RL",32,10846,"IR1","Lvl","CulDSac","Gtl","Veenker","Norm","TwnhsE","1Story",8,5,1993,1993,"Gable","BrkFace","BrkFace","None",0,"Gd","TA","PConc","Gd","TA","Gd","GLQ",1619,"Unf",100,1719,"GasA","Ex","SBrkr",1719,0,1719,2,1,1,1,"Gd",6,"Typ",2,"Gd","Attchd",1993,"Fin",2,473,122,30,0,NA,NA,"Con","Normal",324000,2008-05-01,1.5
328,"RL",80,11600,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","Wd Sdng","Wd Sdng","BrkFace",175,"TA","TA","CBlock","TA","TA","No","Rec",565,"Unf",818,1383,"GasA","TA","SBrkr",1383,0,1383,0,1,1,3,"TA",7,"Typ",0,NA,"Attchd",1960,"RFn",1,292,0,45,0,NA,NA,"WD","Normal",145250,2006-04-01,1.5
329,"RL",21,11888,"IR1","Bnk","Inside","Gtl","BrkSide","PosN","1Fam","2.5Unf",6,6,1916,1994,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",844,844,"GasA","Gd","FuseA",1445,689,2134,0,2,0,5,"Gd",10,"Typ",0,NA,"Detchd",1930,"Unf",2,441,0,60,268,NA,NA,"WD","Normal",214500,2009-07-01,2
330,"RM",60,6402,"Reg","Lvl","Corner","Gtl","IDOTRR","Norm","1Fam","2Story",5,5,1920,1950,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","PConc","TA","TA","Mn","Unf",0,"Unf",596,596,"GasA","TA","SBrkr",596,596,1192,0,1,0,3,"TA",6,"Typ",0,NA,"Detchd",1920,"Unf",1,189,0,0,137,"GdWo",NA,"WD","Normal",78000,2009-07-01,1
331,"RL",21,10624,"IR1","Lvl","Inside","Gtl","NAmes","Norm","Duplex","1Story",5,4,1964,1964,"Gable","HdBoard","HdBoard","BrkFace",84,"TA","TA","CBlock","TA","TA","No","GLQ",40,"Rec",1424,1728,"GasA","TA","SBrkr",1728,0,1728,0,2,0,6,"TA",10,"Typ",0,NA,"Detchd",2002,"Unf",1,352,155,0,0,NA,NA,"WD","Normal",119000,2007-11-01,2
332,"RL",70,8176,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1958,1992,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",846,"Unf",210,1056,"GasA","Fa","SBrkr",1056,0,1056,1,1,0,3,"TA",6,"Typ",0,NA,"Attchd",1958,"RFn",1,308,0,0,0,NA,NA,"WD","Normal",139000,2007-08-01,1
333,"RL",85,10655,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2003,2004,"Gable","VinylSd","VinylSd","BrkFace",296,"Gd","TA","PConc","Gd","TA","No","GLQ",1124,NA,1603,3206,"GasA","Ex","SBrkr",1629,0,1629,1,2,0,3,"Gd",7,"Typ",1,"Gd","Attchd",2003,"RFn",3,880,0,0,0,NA,NA,"WD","Normal",284000,2009-10-01,2
334,"RM",59,8198,"Reg","Lvl","FR3","Gtl","NridgHt","Norm","TwnhsE","1Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","Stone",146,"Gd","TA","PConc","Gd","TA","Av","GLQ",720,"Unf",638,1358,"GasA","Ex","SBrkr",1358,0,1358,1,2,0,2,"Gd",6,"Typ",1,"Gd","Attchd",2004,"RFn",2,484,192,30,0,NA,NA,"WD","Normal",207000,2008-07-01,2
335,"RL",59,9042,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,1998,1998,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",828,"Unf",115,943,"GasA","Gd","SBrkr",943,695,1638,1,2,1,3,"TA",7,"Typ",2,"TA","Attchd",1998,"Fin",2,472,100,38,0,NA,NA,"WD","Normal",192000,2008-07-01,2.5
336,"RL",21,1300,"IR1","HLS","Corner","Sev","Timber","Norm","2fmCon","1.5Fin",5,6,1965,1965,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","Gd","ALQ",1249,"BLQ",103,1499,"GasA","Ex","SBrkr",1619,167,1786,2,2,0,3,"TA",7,"Typ",2,"Gd","Attchd",1965,"Fin",2,529,670,0,0,NA,"Shed","WD","Normal",228950,2008-08-01,2
337,"RL",86,14157,"IR1","HLS","Corner","Gtl","StoneBr","Norm","1Fam","1Story",9,5,2005,2006,"Hip","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1249,"Unf",673,1922,"GasA","Ex","SBrkr",1922,0,1922,1,2,0,3,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",3,676,178,51,0,NA,NA,"WD","Normal",377426,2007-07-01,2
338,"RL",70,9135,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2002,2003,"Gable","VinylSd","VinylSd","BrkFace",113,"Gd","TA","PConc","Gd","TA","Av","GLQ",810,"Unf",726,1536,"GasA","Ex","SBrkr",1536,0,1536,1,2,0,3,"Gd",7,"Typ",0,NA,"Attchd",2002,"RFn",2,532,192,74,0,NA,NA,"WD","Normal",214000,2008-12-01,2
339,"RL",91,14145,"Reg","Lvl","Corner","Gtl","NWAmes","Norm","1Fam","1Story",7,7,1984,1998,"Gable","Wd Sdng","Wd Sdng","None",0,"Gd","TA","CBlock","Gd","TA","Mn","ALQ",213,"Unf",995,1208,"GasA","Ex","SBrkr",1621,0,1621,1,2,0,3,"Gd",8,"Typ",0,NA,"Attchd",1984,"RFn",2,440,108,45,0,NA,"Shed","WD","Normal",202500,2006-05-01,2
340,"RL",66,12400,"IR1","Lvl","Inside","Gtl","NAmes","Feedr","1Fam","1Story",6,7,1958,1998,"Hip","Wd Sdng","Wd Sdng","BrkFace",176,"TA","TA","CBlock","TA","Fa","No","Rec",585,"Unf",630,1215,"GasA","TA","FuseA",1215,0,1215,0,1,0,3,"TA",6,"Typ",0,NA,"Attchd",1958,"Unf",1,297,0,0,0,NA,NA,"WD","Normal",155000,2009-06-01,1
341,"RL",85,14191,"Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam","2Story",8,5,2002,2002,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",967,967,"GasA","Ex","SBrkr",993,915,1908,0,2,1,4,"Gd",9,"Typ",0,NA,"Attchd",2002,"Fin",2,431,135,0,0,NA,NA,"WD","Normal",202900,2010-04-01,2.5
342,"RH",60,8400,"Reg","Lvl","Inside","Gtl","SawyerW","Feedr","1Fam","1Story",4,4,1950,1950,"Gable","Wd Sdng","AsbShng","None",0,"Fa","Fa","CBlock","TA","Fa","No","Unf",0,"Unf",721,721,"GasA","Gd","SBrkr",841,0,841,0,1,0,2,"TA",4,"Typ",0,NA,"CarPort",1950,"Unf",1,294,250,0,24,NA,NA,"WD","Normal",82000,2009-09-01,1
343,"RL",21,8544,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Duplex","1Story",3,4,1949,1950,"Gable","Stucco","Stucco","BrkFace",340,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,"Wall","Fa","FuseA",1040,0,1040,0,2,0,2,"TA",6,"Typ",0,NA,"Detchd",1949,"Unf",2,400,0,0,0,NA,NA,"WD","Normal",87500,2006-05-01,2
344,"RL",63,8849,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",616,"Ex","TA","PConc","Ex","TA","No","GLQ",28,"Unf",1656,1684,"GasA","Ex","SBrkr",1684,0,1684,0,2,0,2,"Ex",6,"Typ",1,"Ex","Attchd",2005,"RFn",2,564,495,72,0,NA,NA,"WD","Normal",266000,2008-07-01,2
345,"RM",36,2592,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","2Story",5,3,1976,1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","CBlock","Gd","TA","No","Rec",129,"BLQ",175,536,"GasA","TA","SBrkr",536,576,1112,0,1,1,3,"TA",4,"Typ",0,NA,"Attchd",1976,"Unf",1,336,182,0,0,NA,NA,"WD","Normal",85000,2010-04-01,1.5
346,"RL",65,6435,"Reg","Lvl","Inside","Gtl","BrkSide","RRAn","1Fam","1.5Fin",6,5,1939,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",972,972,"GasA","Gd","SBrkr",972,605,1577,0,1,0,3,"Fa",6,"Typ",1,"Gd","Detchd",1939,"Unf",1,312,0,0,0,NA,NA,"WD","Normal",140200,2006-10-01,1
347,"RL",21,12772,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",6,8,1960,1998,"Hip","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","Mn","BLQ",498,"Unf",460,958,"GasA","TA","SBrkr",958,0,958,0,1,0,2,"TA",5,"Typ",0,NA,"Attchd",1960,"RFn",1,301,0,0,0,NA,"Gar2","WD","Normal",151500,2007-04-01,1
348,"RL",21,17600,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Gable","Wd Sdng","Wd Sdng","BrkFace",30,"TA","TA","CBlock","TA","TA","No","BLQ",1270,"Unf",208,1478,"GasA","Ex","FuseA",1478,0,1478,1,2,0,3,"TA",6,"Typ",2,"Gd","Attchd",1960,"Unf",2,498,0,40,0,NA,NA,"WD","Normal",157500,2009-12-01,2
349,"RL",36,2448,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Twnhs","2Story",7,5,2003,2004,"Gable","VinylSd","Wd Shng","Stone",106,"Gd","TA","PConc","Gd","TA","No","GLQ",573,"Unf",191,764,"GasA","Ex","SBrkr",764,862,1626,1,2,1,2,"Gd",6,"Typ",0,NA,"BuiltIn",2003,"RFn",2,474,0,27,0,NA,NA,"WD","Normal",154000,2008-10-01,2.5
350,"RL",56,20431,"IR2","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CemntBd","CmentBd","BrkFace",870,"Ex","TA","PConc","Ex","TA","No","GLQ",1410,"Unf",438,1848,"GasA","Ex","SBrkr",1848,880,2728,1,2,1,4,"Ex",10,"Typ",2,"Ex","Attchd",2006,"Fin",3,706,0,0,0,NA,NA,"New","Partial",437154,2006-04-01,2.5
351,"RL",68,7820,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",9,5,2007,2007,"Hip","MetalSd","MetalSd","BrkFace",362,"Ex","TA","PConc","Ex","TA","No","Unf",0,"Unf",1869,1869,"GasA","Ex","SBrkr",1869,0,1869,0,2,0,2,"Ex",6,"Typ",1,"Gd","Attchd",2007,"RFn",2,617,210,54,0,NA,NA,"New","Partial",318061,2007-12-01,2
352,"RL",21,5271,"IR1","Low","Inside","Mod","ClearCr","Norm","1Fam","1Story",7,5,1986,1986,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",1082,"Unf",371,1453,"GasA","Gd","SBrkr",1453,0,1453,1,1,1,2,"Gd",6,"Typ",1,"TA","Attchd",1986,"RFn",2,445,0,80,0,NA,NA,"WD","Abnorml",190000,2006-12-01,1.5
353,"RL",60,9084,"Reg","Lvl","Inside","Gtl","Edwards","Artery","1Fam","1.5Fin",5,6,1941,1950,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","Mn","LwQ",236,"Rec",0,616,"GasA","TA","SBrkr",616,495,1111,0,1,0,3,"TA",5,"Typ",0,NA,"Detchd",1941,"Unf",1,200,48,0,0,NA,NA,"ConLw","Normal",95000,2008-03-01,1
354,"RM",60,8520,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","1Story",6,8,1928,2003,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",624,624,"GasA","Gd","SBrkr",720,0,720,0,1,0,2,"TA",5,"Typ",0,NA,"Detchd",2005,"Unf",2,484,106,0,0,NA,NA,"WD","Normal",105900,2010-05-01,1
355,"RL",60,8400,"Reg","Bnk","Inside","Gtl","SWISU","Norm","1Fam","1.5Fin",6,5,1940,2000,"Gable","Wd Sdng","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",388,"Unf",552,940,"GasA","Ex","SBrkr",1192,403,1595,0,1,0,2,"TA",6,"Typ",2,"Gd","Attchd",1940,"Unf",1,240,0,0,108,NA,NA,"WD","Normal",140000,2006-06-01,1
356,"RL",105,11249,"IR2","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",6,5,1995,1995,"Gable","VinylSd","VinylSd","None",0,"Gd","Gd","PConc","Gd","Gd","No","ALQ",334,"BLQ",322,1200,"GasA","Ex","SBrkr",1200,0,1200,1,2,0,3,"Gd",6,"Typ",0,NA,"Attchd",1995,"RFn",2,521,0,26,0,NA,NA,"WD","Normal",177500,2007-08-01,2
357,"RL",21,9248,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","1Story",6,6,1992,1992,"Gable","HdBoard","HdBoard","BrkFace",106,"TA","TA","PConc","Gd","TA","No","GLQ",560,"Unf",598,1158,"GasA","Gd","SBrkr",1167,0,1167,1,2,0,3,"Gd",6,"Typ",0,NA,"Attchd",1992,"RFn",2,400,120,26,0,NA,NA,"WD","Normal",173000,2009-07-01,2
358,"RM",44,4224,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","1Story",5,5,1976,1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",874,"Unf",268,1142,"GasA","TA","SBrkr",1142,0,1142,1,1,1,3,"TA",6,"Typ",1,"Po","Attchd",1976,"Fin",2,528,536,90,0,"MnPrv",NA,"WD","Normal",134000,2007-08-01,1.5
359,"RL",92,6930,"IR1","Lvl","Inside","Gtl","ClearCr","Norm","1Fam","SLvl",5,4,1958,1958,"Hip","Wd Sdng","ImStucc","BrkFace",120,"TA","TA","CBlock","TA","TA","Av","BLQ",300,"Rec",468,1062,"GasA","Ex","FuseF",1352,0,1352,0,1,0,3,"Gd",6,"Min2",0,NA,"BuiltIn",1958,"Unf",1,288,168,0,294,NA,NA,"WD","Abnorml",130000,2006-07-01,1
360,"RL",78,12011,"IR1","Lvl","CulDSac","Gtl","NoRidge","Norm","1Fam","2Story",8,5,1998,1998,"Gable","VinylSd","VinylSd","BrkFace",530,"Gd","TA","PConc","Gd","TA","Av","GLQ",956,"Unf",130,1086,"GasA","Ex","SBrkr",1086,838,1924,1,2,1,3,"Gd",7,"Typ",1,"TA","Attchd",1998,"RFn",2,592,208,75,0,NA,NA,"WD","Normal",280000,2006-06-01,2.5
