"lotfrontage","overallqual","overallcond","yearbuilt","yearremodadd","masvnrarea","bsmtfinsf1","bsmtunfsf","totalbsmtsf","x2ndflrsf","grlivarea","bedroomabvgr","kitchenabvgr","totrmsabvgrd","garageyrblt","garagecars","garagearea","openporchsf","miscval","yrsold"
120,8,5,2006,2006,0,0,1079,1079,840,1919,3,1,8,2006,2,685,51,0,2006
55,5,6,1912,2000,0,210,570,780,780,1716,6,1,9,1978.50616388687,0,0,184,0,2008
60,5,4,1949,2008,0,292,476,768,568,1716,3,1,8,1949,1,281,0,0,2009
69.6447039199333,7,7,1977,1994,34,795,0,795,795,2263,3,1,9,1977,2,539,250,0,2006
80,6,5,1953,1953,238,1285,131,1416,0,1644,3,1,7,1953,2,418,0,0,2009
37,6,6,1984,1984,0,819,184,1003,0,1003,3,1,6,1984,2,588,0,0,2006
75,5,5,1950,1950,0,420,490,910,648,1558,4,1,6,1950,1,282,0,0,2007
66,7,5,1997,1998,98.3259515570934,649,326,975,975,1950,3,1,7,1997,2,576,10,0,2007
90,6,6,1968,1968,365,384,143,702,702,1743,3,1,7,1968,2,539,0,0,2007
80,6,8,1950,2004,0,0,1092,1092,0,1152,3,1,6,1950,1,300,36,0,2009
90,5,5,1953,1953,56,841,324,1165,0,1336,2,1,5,1953,1,375,0,0,2006
66,8,5,1998,1999,0,281,747,1028,1242,2452,4,1,9,1998,2,683,50,0,2007
118,7,5,2001,2002,150,0,1541,1541,0,1541,3,1,6,2001,3,843,81,0,2006
70,5,7,1972,1972,0,894,0,894,0,894,3,1,5,1975,2,552,0,0,2006
87,7,9,1880,2002,0,0,1470,1470,1818,3493,3,1,10,2003,3,870,0,0,2008
80,8,5,2004,2005,246,1464,536,2000,0,2000,3,1,8,2004,3,888,0,0,2007
116,7,5,1990,1991,246,700,0,700,1121,2243,4,1,8,1990,3,746,44,0,2007
69.6447039199333,6,7,1920,1950,0,0,319,319,371,1406,3,1,6,1978.50616388687,0,0,144,0,2008
69.6447039199333,4,5,1940,1950,0,262,599,861,0,861,1,1,4,1961,2,539,0,0,2009
90,9,5,2003,2004,0,1274,622,1896,0,1944,3,1,8,2003,3,708,175,0,2006
69.6447039199333,6,5,1993,1994,112,518,179,697,804,1501,3,1,6,1993,2,420,63,0,2006
50,6,6,1948,2002,0,680,292,972,0,972,2,1,5,1948,1,240,0,0,2009
65,5,7,1939,1950,0,507,286,793,325,1118,3,1,5,1939,2,410,0,0,2006
150,7,5,1965,1965,0,1236,80,2136,0,2036,3,1,8,1965,2,513,0,0,2009
60,7,7,1925,1990,0,16,712,728,809,1641,3,1,6,1925,2,546,0,0,2006
71,7,5,2004,2005,0,425,291,716,716,1432,3,1,6,2004,2,432,51,0,2009
94,7,7,1980,1980,278,692,153,845,1200,2353,4,1,10,1983,2,484,195,0,2009
75,8,5,2006,2006,0,0,1088,1088,871,1959,3,1,8,2006,3,1025,46,0,2007
90,7,5,1993,1993,256,987,360,1347,1274,2646,4,1,9,1993,3,656,60,0,2009
69.6447039199333,7,5,1980,1980,225,1036,336,1372,0,1472,3,1,6,1980,2,588,48,0,2009
111,9,5,2006,2006,370,0,1249,1249,1347,2596,4,1,9,2006,3,840,154,0,2006
99,8,5,2004,2004,388,970,166,1136,1332,2468,4,1,10,2004,3,872,154,0,2007
86,7,5,1986,1987,172,28,0,1502,1177,2730,4,1,8,1987,2,576,96,0,2007
49,3,8,1955,2005,0,256,906,1162,0,1163,3,1,6,1955,1,220,98,0,2006
96,7,7,1967,2007,300,0,710,710,1080,2978,5,1,11,1961,2,564,0,0,2010
50,5,6,1941,1950,0,116,604,720,0,803,2,1,5,1941,2,360,0,0,2007
32,8,5,1993,1993,0,1619,100,1719,0,1719,1,1,6,1993,2,473,30,0,2008
80,6,5,1960,1960,175,565,818,1383,0,1383,3,1,7,1960,1,292,45,0,2006
69.6447039199333,6,6,1916,1994,0,0,844,844,689,2134,5,1,10,1930,2,441,60,0,2009
60,5,5,1920,1950,0,0,596,596,596,1192,3,1,6,1920,1,189,0,0,2009
69.6447039199333,5,4,1964,1964,84,40,1424,1728,0,1728,6,2,10,2002,1,352,0,0,2007
70,5,6,1958,1992,0,846,210,1056,0,1056,3,1,6,1958,1,308,0,0,2007
85,8,5,2003,2004,296,1124,1603,3206,0,1629,3,1,7,2003,3,880,0,0,2009
59,7,5,2004,2004,146,720,638,1358,0,1358,2,1,6,2004,2,484,30,0,2008
59,6,5,1998,1998,0,828,115,943,695,1638,3,1,7,1998,2,472,38,0,2008
69.6447039199333,5,6,1965,1965,0,1249,103,1499,167,1786,3,1,7,1965,2,529,0,700,2008
86,9,5,2005,2006,200,1249,673,1922,0,1922,3,1,8,2005,3,676,51,0,2007
70,7,5,2002,2003,113,810,726,1536,0,1536,3,1,7,2002,2,532,74,0,2008
91,7,7,1984,1998,0,213,995,1208,0,1621,3,1,8,1984,2,440,45,400,2006
66,6,7,1958,1998,176,585,630,1215,0,1215,3,1,6,1958,1,297,0,0,2009
85,8,5,2002,2002,0,0,967,967,915,1908,4,1,9,2002,2,431,0,0,2010
60,4,4,1950,1950,0,0,721,721,0,841,2,1,4,1950,1,294,0,0,2009
69.6447039199333,3,4,1949,1950,340,0,0,0,0,1040,2,2,6,1949,2,400,0,0,2006
63,9,5,2005,2005,616,28,1656,1684,0,1684,2,1,6,2005,2,564,72,0,2008
36,5,3,1976,1976,0,129,175,536,576,1112,3,1,4,1976,1,336,0,0,2010
65,6,5,1939,1950,0,0,972,972,605,1577,3,1,6,1939,1,312,0,0,2006
69.6447039199333,6,8,1960,1998,0,498,460,958,0,958,2,1,5,1960,1,301,0,24.8414550446122,2007
69.6447039199333,6,5,1960,1960,30,1270,208,1478,0,1478,3,1,6,1960,2,498,40,0,2009
36,7,5,2003,2004,106,573,191,764,862,1626,2,1,6,2003,2,474,27,0,2008
56,9,5,2005,2006,870,1410,438,1848,880,2728,4,1,10,2006,3,706,0,0,2006
68,9,5,2007,2007,362,0,1869,1869,0,1869,2,1,6,2007,2,617,54,0,2007
69.6447039199333,7,5,1986,1986,0,1082,371,1453,0,1453,2,1,6,1986,2,445,80,0,2006
60,5,6,1941,1950,0,236,0,616,495,1111,3,1,5,1941,1,200,0,0,2008
60,6,8,1928,2003,0,0,624,624,0,720,2,1,5,2005,2,484,0,0,2010
60,6,5,1940,2000,0,388,552,940,403,1595,2,1,6,1940,1,240,0,0,2006
105,6,5,1995,1995,0,334,322,1200,0,1200,3,1,6,1995,2,521,26,0,2007
69.6447039199333,6,6,1992,1992,106,560,598,1158,0,1167,3,1,6,1992,2,400,26,0,2009
44,5,5,1976,1976,0,874,268,1142,0,1142,3,1,6,1976,2,528,90,0,2007
92,5,4,1958,1958,120,300,468,1062,0,1352,3,1,6,1958,1,288,0,0,2006
78,8,5,1998,1998,530,956,130,1086,838,1924,3,1,7,1998,2,592,75,0,2006
69.6447039199333,6,6,1978,1978,0,773,115,888,0,912,2,1,5,1978,2,470,0,0,2007
69.6447039199333,5,5,1940,1982,0,399,484,883,517,1505,3,1,8,1940,1,240,0,0,2008
64,7,5,2003,2003,500,0,0,0,1427,1922,4,1,7,2003,2,672,0,0,2009
21,6,8,1972,2007,510,162,321,483,504,987,2,1,5,1972,1,264,0,0,2009
69.6447039199333,6,5,1976,1976,120,712,84,796,784,1574,3,1,6,1976,2,566,111,0,2006
59,5,7,1920,1997,0,456,216,672,672,1344,3,1,6,1964,1,468,128,0,2009
69.6447039199333,6,5,1963,1963,247,609,785,1394,0,1394,3,1,6,1963,2,514,76,0,2009
101,6,5,1962,1962,305,371,728,1099,0,1431,3,1,6,1962,1,296,110,0,2008
78,5,6,1954,1954,200,540,728,1268,0,1268,2,1,7,1954,1,244,98,0,2010
69.6447039199333,5,7,1959,2006,0,72,733,1063,0,1287,3,1,7,1997,2,576,17,0,2010
69.6447039199333,6,5,2000,2000,0,0,953,953,711,1664,3,1,7,2000,2,460,40,0,2006
80,4,4,1959,1959,0,0,0,0,468,1588,4,1,7,1991,2,680,59,0,2008
50,6,5,1984,1984,0,623,0,744,0,752,2,1,4,1984,1,264,0,0,2010
79,5,6,1953,1953,0,428,0,608,0,1319,3,1,5,1953,1,270,0,0,2009
65,7,5,2003,2004,0,0,847,847,1081,1928,4,1,8,2003,2,434,48,0,2007
69.6447039199333,1,1,1922,1950,0,350,333,683,0,904,1,1,4,1978.50616388687,0,0,0,0,2009
57,5,5,1996,1996,0,298,572,870,0,914,2,1,5,1998,2,576,0,0,2006
102,8,5,2004,2005,0,0,1580,1580,886,2466,4,1,8,2004,2,610,214,0,2007
88,9,2,2010,2010,350,1445,411,1856,0,1856,1,1,8,2010,3,834,0,0,2010
60,6,5,2000,2000,16,0,982,982,793,1800,3,1,7,2000,2,463,63,0,2009
50,5,6,1924,1950,0,218,808,1026,665,1691,3,1,6,1924,1,308,0,0,2010
60,7,5,2006,2006,0,0,1293,1293,0,1301,2,1,5,2006,2,572,121,0,2006
79,7,5,2006,2006,0,0,939,939,858,1797,3,1,8,2006,2,639,53,0,2007
60,6,3,1928,1950,0,0,784,784,0,784,2,1,5,1950,2,360,0,0,2009
69.6447039199333,6,5,1992,1992,0,985,595,1580,874,1953,3,1,9,1992,2,501,231,0,2007
43,8,5,2004,2005,16,24,1232,1256,0,1269,2,1,6,2004,2,430,20,0,2010
58,5,3,1910,1996,0,0,658,658,526,1184,5,1,8,1978.50616388687,0,0,151,0,2006
72,6,6,1976,1976,255,631,410,1041,0,1125,3,1,6,1977,1,352,0,0,2009
93,7,5,1999,2000,125,0,1468,1468,0,1479,3,1,6,1999,2,577,25,0,2008
96,10,5,2007,2008,272,1280,402,1682,590,2332,3,1,9,2008,3,846,134,0,2008
50,5,8,1900,1950,0,241,229,861,406,1367,4,1,7,1978,1,384,130,0,2008
71,6,5,2001,2002,0,690,114,804,1157,1961,3,1,7,2001,2,560,192,0,2009
69.6447039199333,5,7,1959,1959,0,0,0,0,0,882,3,1,5,1959,1,294,0,1200,2007
69.6447039199333,4,5,1941,1950,0,266,522,788,0,788,2,1,4,1978.50616388687,0,0,0,0,2006
60,5,6,1940,1950,0,0,735,735,299,1034,2,1,5,1940,1,240,39,0,2007
68,5,6,1956,1956,0,739,405,1144,0,1144,3,1,6,1956,1,596,0,0,2010
60,5,5,1972,1972,0,777,117,894,0,894,2,1,6,1985,2,600,0,0,2009
69,5,5,1962,1962,288,540,324,864,936,1812,4,1,8,1962,1,264,168,0,2007
60,5,2,1920,1950,0,0,961,961,0,1077,2,1,6,1920,1,338,0,0,2007
65,7,5,2006,2007,100,812,280,1092,438,1550,2,1,7,2007,2,438,168,0,2009
38,8,5,1996,1996,0,786,474,1260,0,1288,1,1,4,1996,2,500,30,0,2008
65,7,5,2005,2005,0,24,1286,1310,0,1310,3,1,6,2005,2,400,0,0,2006
60,5,8,1940,1997,0,0,672,672,0,672,2,1,4,1940,1,240,0,0,2008
93,8,5,1998,1998,650,0,1141,1141,1098,2263,4,1,10,1998,2,420,123,0,2006
69.6447039199333,6,5,1995,1996,0,0,806,806,766,1572,3,1,7,1995,2,373,40,0,2007
69.6447039199333,4,4,1976,1993,0,1116,165,1281,0,1620,3,1,8,1993,2,490,78,0,2009
51,6,5,1936,1950,0,0,1064,1064,0,1639,3,1,6,1936,1,240,0,0,2008
63,6,7,1915,1976,0,0,840,840,840,1680,4,1,8,1960,1,308,0,0,2008
109,7,5,2006,2006,350,0,1063,1063,1101,2172,3,1,9,2006,3,947,62,0,2007
85,8,5,2007,2008,100,789,245,1034,1028,2078,3,1,8,2008,3,836,102,0,2008
68,5,3,1958,1958,0,0,1276,1276,0,1276,3,1,5,1958,1,350,0,0,2009
100,5,5,1955,1955,0,1056,0,1056,0,1056,3,1,5,1955,2,572,0,0,2006
69.6447039199333,7,5,2009,2009,432,578,892,1470,0,1478,2,1,7,2009,2,484,144,0,2010
56,5,6,1927,1950,0,0,1008,1008,0,1028,2,1,5,1927,2,360,0,0,2010
59,7,5,1993,1993,0,50,499,1080,1017,2097,3,1,9,1993,3,678,187,0,2008
73,7,5,2007,2007,0,24,1316,1340,0,1340,3,1,6,2007,2,396,30,0,2007
74,6,7,1978,1978,203,209,463,672,728,1400,3,1,6,1978,2,440,0,0,2006
86,6,6,1918,1950,0,1128,242,1370,1254,2624,4,1,10,1918,3,864,0,0,2007
60,5,6,1940,1950,0,312,444,756,378,1134,3,1,7,1940,1,240,0,0,2007
65,5,6,1968,1968,0,775,281,1056,0,1056,3,1,6,1968,1,304,85,0,2010
78,7,5,1997,1998,200,1309,35,1344,0,1344,2,2,8,1997,4,784,0,0,2008
69.6447039199333,6,7,1977,2000,126,1246,356,1602,0,1602,3,1,8,1977,2,529,0,0,2009
100,5,5,1954,1954,0,0,988,988,0,988,2,1,4,1954,2,520,0,0,2008
80,8,5,1998,1998,473,986,484,1470,1160,2630,4,1,8,1998,3,696,66,0,2008
72,6,5,1956,1956,74,616,580,1196,0,1196,2,1,6,1956,1,297,44,0,2008
60,7,8,1946,1992,0,0,651,651,682,1389,3,1,6,1947,1,240,0,0,2009
69.6447039199333,7,5,1989,1989,145,1518,0,1518,0,1644,2,1,5,1989,2,569,0,0,2009
77,4,6,1957,1957,0,288,619,907,0,907,3,1,5,1964,1,352,0,0,2008
64,7,5,2007,2007,108,664,544,1208,0,1208,2,1,6,2007,2,628,54,0,2007
130,6,5,1988,1988,0,1005,387,1392,0,1412,3,1,6,1988,2,576,0,0,2009
21,6,5,1971,1971,232,387,96,483,504,987,2,1,4,1971,1,264,0,0,2008
60,6,7,1920,1998,0,0,901,901,110,1198,4,1,7,1978.50616388687,0,0,98,0,2008
24,5,5,1971,1971,376,471,294,765,600,1365,2,1,6,1971,2,440,36,0,2007
100,6,5,1997,1998,0,0,926,926,678,1604,3,1,7,1997,2,470,36,0,2008
21,4,7,1972,1972,0,495,135,630,0,630,1,1,3,1978.50616388687,0,0,0,0,2008
43,7,6,1996,1996,0,385,70,799,834,1661,3,1,6,1996,2,550,61,0,2009
40,6,8,1920,1950,0,0,648,648,384,1118,2,1,6,1990,2,440,0,0,2006
50,6,7,1926,2004,0,0,884,884,0,904,2,1,4,1926,1,180,0,0,2009
40,5,6,1913,2002,0,365,75,440,0,694,2,1,4,1990,1,352,0,0,2007
67,6,8,1920,2000,0,0,684,684,512,1196,3,1,7,2005,2,528,46,800,2009
105,10,5,2008,2008,200,1767,788,3094,0,2402,2,1,10,2008,3,672,72,0,2009
92,4,4,1955,1955,270,133,1307,1440,0,1440,4,2,8,1978.50616388687,0,0,0,0,2008
52,5,7,1930,1992,0,0,1078,1078,445,1573,3,1,8,1930,2,360,0,0,2008
53,7,5,2006,2007,72,0,1258,1258,0,1258,2,1,6,2007,3,648,16,0,2007
70,7,5,1994,1995,0,642,273,915,975,1908,4,1,8,1994,2,493,133,0,2008
73,6,5,1956,1956,0,0,1436,1436,0,1689,3,1,7,1956,2,480,0,0,2009
137,6,6,1966,2002,0,247,557,1517,0,1888,2,1,6,1966,2,578,0,0,2010
69.6447039199333,7,5,1998,1999,0,0,930,930,930,1886,4,1,10,1998,2,431,0,0,2006
50,6,6,1937,1950,0,0,780,780,596,1376,3,1,7,1937,1,198,0,0,2006
50,3,7,1948,2002,0,331,318,649,504,1183,2,1,6,1981,1,308,176,0,2007
70,6,8,1930,2005,0,0,813,813,0,813,2,1,5,1932,1,270,113,0,2006
62,7,5,1975,1975,0,655,878,1533,0,1533,2,1,5,1975,2,576,54,0,2006
69.6447039199333,6,5,1996,1997,42,742,130,872,868,1756,3,1,7,1996,2,422,122,0,2007
75,8,5,2008,2008,0,0,768,768,804,1590,3,1,6,2008,2,676,30,0,2009
63,5,5,1976,1976,0,1606,122,1728,0,1728,4,2,8,1976,2,560,0,0,2006
80,7,6,1973,1973,320,916,326,1242,0,1242,3,1,6,1973,2,528,0,0,2007
34,5,5,1916,1950,0,0,624,624,720,1344,4,1,7,1916,3,513,0,0,2008
69.6447039199333,4,6,1954,1994,0,1116,248,1364,0,1663,2,1,6,1954,2,529,137,0,2008
69.6447039199333,8,7,1925,1996,0,0,588,588,833,1666,3,1,7,1925,1,228,63,0,2008
69.6447039199333,5,4,1950,1950,161,185,524,709,224,1203,3,1,5,1950,1,352,0,0,2009
75,8,5,2009,2009,110,544,288,832,1103,1935,3,1,8,2009,2,552,150,0,2009
60,7,9,1936,2007,0,350,0,560,560,1135,3,1,6,1971,2,576,0,0,2009
60,5,5,1965,1965,0,553,0,864,0,864,3,1,5,1965,1,360,0,0,2009
74,6,7,1934,1995,0,326,389,715,811,1660,3,1,6,1939,1,240,0,0,2008
60,5,5,1978,1978,136,616,424,1040,0,1040,3,1,5,1978.50616388687,0,0,0,0,2009
69.6447039199333,7,5,2004,2004,18,0,1375,1375,0,1414,2,1,6,2004,2,398,20,0,2006
85,7,5,1970,1970,0,778,499,1277,0,1277,2,1,5,1970,2,526,0,0,2007
79,5,7,1942,1995,224,386,342,728,756,1644,3,1,7,1942,1,312,0,0,2007
98,8,5,2006,2006,248,0,1626,1626,0,1634,3,1,7,2006,3,866,44,0,2007
76,6,5,1993,1993,120,426,406,832,878,1710,3,1,7,1993,2,506,70,0,2008
69.6447039199333,8,5,1985,1985,0,368,0,1488,0,1502,1,1,4,1985,2,528,54,0,2010
92,7,6,1977,1977,0,0,808,808,808,1969,3,1,8,1977,2,534,0,0,2007
35,6,5,2005,2005,80,459,88,547,0,1072,2,1,5,2005,2,525,28,0,2008
110,8,5,2006,2007,304,1350,626,1976,0,1976,2,1,7,2006,3,908,63,0,2007
41,8,5,2000,2000,0,1196,298,1494,0,1652,2,1,6,2000,2,499,48,0,2007
80,5,6,1963,1963,0,630,340,970,0,970,2,1,5,1996,2,624,24,0,2007
75,6,5,1997,1998,215,994,484,1478,0,1493,3,1,7,1997,2,508,39,0,2008
105,9,5,2006,2006,772,0,2153,2153,574,2643,3,1,9,2006,3,694,84,0,2007
79,8,5,2007,2008,336,1288,417,1705,0,1718,3,1,7,2007,3,826,44,0,2009
50,4,7,1937,2000,435,168,739,907,0,1131,2,1,7,1995,2,672,72,0,2007
98,9,5,2004,2005,378,1261,572,1833,0,1850,3,1,8,2004,3,772,112,0,2006
72,9,5,2003,2004,562,1567,225,1792,0,1792,2,1,6,2003,3,874,49,0,2006
50,7,8,1915,2005,0,299,611,910,910,1826,4,1,7,1915,1,164,0,0,2009
32,6,5,1998,1998,116,897,319,1216,0,1216,2,1,5,1998,2,402,125,0,2006
69.6447039199333,5,7,1962,2001,0,588,411,999,0,999,3,1,6,1963,1,264,132,0,2007
80,5,7,1950,2007,0,607,506,1113,0,1113,3,1,5,1950,1,264,80,0,2009
79,5,7,1965,1965,168,836,237,1073,0,1073,3,1,6,1965,2,515,0,0,2007
70,5,6,1971,1971,0,998,486,1484,0,1484,3,1,7,1971,2,487,0,0,2007
60,5,4,1900,1970,0,664,290,954,648,2414,3,2,10,1970,2,520,0,0,2006
21,4,8,1970,2002,0,515,115,630,0,630,1,1,3,1970,1,286,0,0,2009
69.6447039199333,5,6,1976,1976,0,0,264,264,688,1304,3,1,4,1976,1,336,24,0,2008
79,6,7,1941,1950,0,403,238,806,620,1578,3,1,5,1941,1,240,0,0,2006
105,6,5,2006,2006,0,0,728,728,728,1456,3,1,8,2006,2,429,0,0,2006
70,5,6,1960,1960,0,374,363,1269,0,1269,3,1,6,1964,1,308,0,0,2008
50,5,8,1938,1996,0,0,190,190,0,886,2,1,4,1938,1,273,20,0,2009
60,4,5,1920,1950,0,495,225,720,0,720,2,1,4,1978.50616388687,0,0,45.173883161512,0,2009
69.6447039199333,8,5,1992,1993,0,1231,1969,3200,0,3228,4,1,10,1992,2,546,75,0,2007
60,7,6,1925,1950,0,329,697,1026,687,1820,4,1,8,1925,1,240,100,0,2008
65,5,7,1967,2004,89,450,414,864,0,899,3,1,5,1967,1,288,0,0,2009
70,5,7,1958,1985,0,111,522,912,0,912,2,1,5,1958,1,297,285,480,2007
21,6,5,1973,1973,285,356,316,672,546,1218,3,1,7,1973,1,264,28,0,2007
75,7,5,2005,2005,0,400,466,866,902,1768,3,1,7,2005,2,603,108,0,2008
70,5,7,1965,1965,0,698,420,1214,0,1214,2,1,6,1965,2,461,0,400,2007
100,7,8,1959,1997,0,1247,254,1501,0,1801,1,1,6,1959,2,484,54,0,2010
24,6,5,1974,1974,0,257,103,855,467,1322,3,1,6,1974,2,440,0,0,2009
60,5,5,1952,1952,360,0,960,960,1000,1960,4,2,10,1952,2,400,0,0,2009
80,8,5,1993,1994,125,380,397,777,846,1911,3,1,8,1993,2,471,81,0,2006
75,6,5,2009,2009,0,27,1191,1218,0,1218,2,1,4,2009,2,676,102,0,2009
60,7,9,1928,2005,0,141,548,689,689,1378,3,1,7,1928,2,360,0,0,2008
80,5,6,1959,1959,132,991,50,1041,0,1041,3,1,6,1959,1,270,88,0,2009
75,5,7,1951,2000,70,650,178,1008,0,1363,2,1,6,1951,1,288,42,2000,2009
40,7,5,2005,2006,94,0,1368,1368,0,1368,2,1,6,2005,2,474,35,0,2006
70,5,5,1958,1958,0,521,169,864,0,864,3,1,5,1964,2,624,0,0,2006
71,6,5,1983,1983,0,336,748,1084,0,1080,3,1,5,1983,2,484,0,0,2007
55,5,5,1926,1950,0,0,768,768,0,789,2,1,5,1926,1,200,0,0,2007
94,10,5,2009,2009,305,1436,570,2006,0,2020,3,1,9,2009,3,900,54,0,2009
69.6447039199333,6,6,1972,1972,333,0,689,689,741,2119,3,1,7,1972,2,583,104,0,2009
79,7,5,1996,1997,921,0,1264,1264,1067,2344,3,1,7,1996,3,889,0,0,2009
69.6447039199333,6,5,1998,1998,0,706,88,794,914,1796,3,1,7,1998,2,546,36,0,2007
53,7,9,1926,2004,0,0,1276,1276,804,2080,3,1,9,1926,1,282,0,0,2009
60,4,7,1900,2000,0,0,0,0,600,1294,3,2,7,1978.50616388687,0,0,114,0,2008
90,6,6,1957,1957,0,777,467,1244,0,1244,3,1,6,1957,1,336,40,0,2007
50,6,7,1947,1950,0,399,605,1004,660,1664,3,1,7,1950,2,420,24,0,2006
130,10,5,2007,2008,762,2260,878,3138,1538,1506.50206043956,3,1,11,2007,3,884,45.173883161512,0,2007
95,7,5,1996,1997,594,719,660,1379,1015,2398,3,1,8,1996,3,834,60,0,2007
62,7,5,2005,2005,0,0,1257,1257,0,1266,3,1,6,2005,2,453,144,0,2006
70,5,7,1956,2000,0,377,551,928,0,928,2,1,4,1956,1,252,0,0,2007
67,9,5,2008,2008,268,1330,122,1452,1237,2713,3,1,11,2008,3,858,66,0,2008
58,4,7,1920,2002,0,348,180,528,0,605,2,1,5,1978.50616388687,0,0,0,0,2007
69.6447039199333,6,3,1957,1975,98.3259515570934,1219,816,2035,0,2515,4,2,9,1975,2,484,0,0,2007
85,6,5,1988,1989,219,783,678,1461,0,1509,3,1,5,1988,2,600,0,0,2008
60,6,8,1920,1999,0,0,611,611,611,1362,3,1,6,1920,2,502,0,0,2008
60,5,7,1955,2007,0,0,0,0,0,827,2,1,5,1967,1,392,0,0,2010
50,1,3,1946,1950,0,0,0,0,0,334,1,1,2,1978.50616388687,0,0,0,0,2007
74,8,5,2004,2004,0,0,707,707,707,1414,3,1,6,2004,2,403,35,0,2006
70,5,7,1910,1991,0,969,148,1117,527,1347,3,1,5,1978.50616388687,0,0,0,0,2008
57,7,5,1998,1999,0,0,880,880,844,1724,3,1,8,1998,2,527,155,0,2008
69.6447039199333,4,5,1972,1972,0,600,264,864,0,864,3,1,5,1980,2,576,0,0,2008
69.6447039199333,5,5,1968,1968,188,673,378,1051,0,1159,3,1,7,1968,1,336,0,0,2006
69.6447039199333,8,5,2001,2002,479,1358,223,1581,0,1601,3,1,6,2001,2,670,0,2000,2010
85,9,5,2006,2006,584,1260,578,1838,0,1838,2,1,8,2006,3,765,68,0,2009
69.6447039199333,8,5,2000,2000,72,0,969,969,1288,2285,4,1,8,2000,3,648,56,0,2007
78,7,5,1998,1999,0,144,379,1650,0,1680,3,1,7,1998,2,583,73,0,2009
34,7,5,1998,1998,182,584,0,723,0,767,1,1,4,1998,1,367,40,0,2007
58,7,5,2006,2006,0,554,100,654,832,1496,3,1,7,2006,2,426,24,0,2006
69.6447039199333,7,5,1988,1988,178,1002,0,1204,806,2183,4,1,9,1988,3,786,0,0,2006
70,6,7,1923,1950,0,300,765,1065,720,1635,3,1,6,1950,2,440,38,0,2007
54,5,7,1970,1970,0,619,149,768,0,768,2,1,5,1987,2,624,0,0,2007
49,5,7,1955,1995,0,180,0,825,0,825,2,1,4,1963,2,720,50,0,2008
75,7,5,2003,2004,0,0,912,912,1182,2094,4,1,8,2003,2,615,182,0,2009
53,6,6,1977,1977,0,559,510,1069,0,1069,2,1,4,1977,2,440,55,0,2008
50,5,6,1957,1957,0,308,620,928,0,928,3,1,5,1957,1,288,0,0,2008
87,8,5,2006,2006,250,0,1709,1709,0,1717,3,1,7,2006,3,908,39,0,2009
67,4,5,1949,2003,0,0,0,0,0,1126,2,1,5,2002,2,520,96,0,2009
85,7,5,2003,2004,292,866,132,998,1040,2046,3,1,8,2003,3,871,62,0,2008
58,5,6,1922,1950,0,0,993,993,0,1048,2,1,5,1922,1,280,0,0,2006
69,5,5,1957,1957,0,895,197,1092,0,1092,2,1,6,1957,1,299,0,0,2006
60,4,6,1920,1950,0,637,0,637,439,1336,3,1,7,1994,1,570,47,0,2006
57,7,5,1996,1997,0,604,125,729,717,1446,3,1,6,1996,2,406,22,0,2008
69.6447039199333,7,5,2003,2004,18,0,1374,1374,0,1557,2,1,7,2003,2,420,20,0,2006
69.6447039199333,5,6,1957,1996,180,1302,90,1392,0,1392,3,1,5,1957,2,528,0,0,2010
77,5,5,1974,1975,0,1071,195,1389,0,1389,2,1,6,1975,2,418,38,0,2006
63,5,6,1940,1969,0,290,706,996,0,996,3,1,6,1978.50616388687,0,0,0,0,2008
66,6,7,1918,1950,0,0,1163,1163,511,1674,4,1,8,1955,2,396,36,0,2008
69.6447039199333,7,5,1992,2000,0,728,367,1095,1129,2295,4,1,9,1992,2,590,40,0,2006
66,6,4,1915,1950,0,0,806,806,806,1647,4,1,6,1920,1,216,66,0,2010
77,9,5,2005,2007,245,0,1122,1122,1370,2504,4,1,11,2005,3,656,39,0,2008
70,7,5,2004,2004,168,2,1515,1517,0,1535,3,1,7,2004,2,532,0,0,2010
79,8,8,1983,2009,0,1441,55,1496,636,2132,1,1,5,1983,2,612,40,0,2009
69.6447039199333,5,5,1979,1979,0,943,0,943,0,943,2,1,4,1979,2,600,0,0,2006
74,5,5,1965,1965,108,231,1497,1728,0,1728,6,2,10,1987,2,576,0,0,2008
60,6,6,1959,1959,207,414,450,864,0,864,2,1,4,1959,1,288,0,0,2006
83,7,5,2009,2009,0,0,846,846,846,1692,3,1,6,2009,2,650,114,0,2009
76,7,5,2000,2000,0,0,384,384,656,1430,3,1,8,2000,2,400,0,0,2007
70,5,7,1971,2005,82,349,23,372,533,1109,3,1,5,1971,1,288,0,0,2007
80,5,5,1947,1950,0,442,390,832,384,1216,2,1,6,1947,1,336,0,0,2008
52,7,7,1928,1950,0,0,861,861,600,1477,3,1,6,1928,1,216,50,0,2009
96,5,6,1966,1966,97,328,285,1164,0,1320,3,1,6,1966,2,564,68,0,2006
34,7,5,2007,2007,0,0,689,689,689,1392,2,1,5,2007,2,540,102,0,2008
81,5,5,1954,1954,335,0,1050,1050,745,1795,4,1,7,1954,1,352,0,0,2008
69.6447039199333,6,6,1960,1987,85,594,331,1144,0,1429,3,1,7,1960,2,572,110,0,2007
98,8,5,2008,2009,306,0,2042,2042,0,2042,3,1,8,2009,3,1390,90,0,2009
81,6,5,1990,1990,104,816,0,816,0,816,3,1,5,1978.50616388687,0,0,32,0,2007
